Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M,298.2,308.0,1577,35.9,151
L,301.1,312.2,1397,54.9,81
L,297.6,308.6,1383,47.5,75
M,298.9,309.6,1567,34.5,204
M,302.6,312.1,1611,39.9,210
M,297.3,308.7,1447,44.5,105
M,296.7,307.9,1874,21.3,130
L,302.4,311.4,1831,26.9,121
M,296.2,307.2,1633,31.1,0
L,297.5,308.9,1390,47.4,187
L,303.7,312.9,1502,40.5,0
L,299.7,309.1,1347,55.3,139
L,301.6,310.9,1385,50.7,195
L,298.0,307.7,1442,43.6,148
L,300.9,310.8,1482,37.0,5
L,302.6,311.8,1427,50.1,21
L,301.0,311.6,1440,43.3,131
L,297.4,308.0,1423,38.0,154
L,300.5,310.8,1445,46.6,155
M,300.6,309.8,1659,28.9,127
M,299.2,309.0,1541,36.3,104
M,298.4,309.1,1576,38.8,167
L,298.0,308.9,1500,36.7,104
L,300.6,309.4,1471,44.1,244
M,297.4,308.2,1530,32.6,22
L,298.7,308.5,1375,46.4,48
L,299.3,309.1,1795,24.7,187
M,298.3,308.8,1391,50.4,13
H,297.2,308.5,2440,14.0,166
L,300.1,309.0,1314,58.2,114
M,298.1,307.8,1384,43.7,200
H,303.1,312.6,1404,40.6,152
L,299.1,310.2,1317,54.8,231
L,298.4,309.3,1512,35.8,18
L,298.9,308.2,1828,23.8,26
L,300.9,309.5,1612,35.2,124
M,297.6,308.7,1408,54.8,147
L,300.4,310.1,1614,33.5,191
L,302.7,312.1,1688,32.0,155
L,301.9,310.7,1370,50.3,20
L,303.4,311.5,1414,44.8,71
L,299.0,308.7,1537,42.8,202
M,302.9,312.4,1659,33.1,152
M,298.5,309.2,1449,46.4,83
M,299.4,309.4,1326,47.5,35
M,298.8,310.0,1295,52.7,74
L,303.8,312.7,1596,36.6,134
L,302.8,310.8,1516,39.5,23
L,298.7,308.4,1750,25.8,72
L,301.4,310.6,1550,36.8,159
L,302.5,311.5,1603,32.4,194
L,299.2,310.7,1535,42.6,17
M,304.2,313.2,1380,48.7,17
L,302.1,310.6,1385,53.6,5
M,301.5,310.6,1403,47.4,34
M,300.6,310.7,1339,52.9,0
L,301.4,310.5,1489,43.5,98
L,301.0,310.9,1822,21.6,168
L,297.5,308.4,1511,42.8,209
L,297.1,308.2,2267,15.7,181
M,298.1,307.8,1608,32.6,57
L,303.7,312.3,1511,38.9,117
L,298.7,310.1,1786,27.7,114
M,297.6,309.6,1592,35.8,57
M,301.9,311.5,1492,40.8,150
L,297.2,308.5,1494,39.6,181
L,297.3,308.6,1511,35.7,120
M,298.2,308.4,1510,39.9,134
L,299.7,309.2,1631,35.1,177
L,297.9,309.1,1521,36.1,15
L,297.3,308.1,1763,28.4,54
M,295.8,306.6,1480,43.2,92
L,299.2,310.6,1675,33.3,28
L,298.3,308.0,1361,56.9,81
L,302.5,310.2,1454,43.0,108
L,302.3,311.6,1658,32.3,150
M,298.8,310.2,1527,31.2,102
L,303.1,311.2,1394,45.3,144
L,301.7,310.6,1660,28.7,66
L,298.0,307.7,1643,32.3,200
L,297.0,307.8,1316,61.2,200
M,300.7,311.7,1532,40.0,0
L,300.0,309.1,1465,40.6,9
H,303.8,313.2,1379,50.2,178
L,300.6,312.2,1308,54.7,52
L,298.6,308.3,1278,60.5,32
L,300.9,312.0,1533,44.0,162
H,298.1,309.3,1332,51.0,72
L,301.4,310.7,1376,50.6,25
M,298.6,309.5,1404,43.3,33
L,302.8,312.1,1418,51.4,54
M,297.2,307.9,1541,35.7,169
L,299.3,310.7,1495,39.2,144
L,303.2,311.2,1363,46.7,29
H,298.9,309.9,1376,51.0,32
L,298.8,308.7,1450,43.4,66
M,299.8,311.3,1517,41.2,105
M,298.7,308.4,1441,43.2,132
L,296.8,307.9,1489,33.4,123
L,301.3,310.5,1503,48.6,72
L,295.5,306.0,1546,35.9,169
H,302.3,311.7,1456,45.4,130
L,299.0,310.4,1452,46.2,168
L,297.2,307.9,1540,37.1,164
L,296.8,308.0,1391,54.4,17
L,304.0,313.1,1564,50.9,119
L,297.4,308.2,1386,41.0,35
M,304.2,313.8,1481,44.9,136
M,302.1,311.4,1419,36.2,47
L,298.3,309.9,1463,43.9,116
L,300.3,309.2,1650,35.2,196
L,297.8,308.4,1518,32.5,190
L,302.5,310.5,1520,41.2,154
L,300.0,310.2,1760,26.9,193
L,301.8,309.6,1443,42.7,231
L,301.6,310.9,1632,31.6,189
H,297.3,308.7,1569,33.9,93
L,300.4,309.7,1740,31.1,113
L,300.6,311.9,1372,60.1,212
M,303.6,312.7,1765,27.5,115
L,301.6,310.6,1391,49.4,164
L,297.4,309.0,1583,32.0,166
L,301.1,311.2,1564,37.0,165
M,300.4,311.0,1595,35.4,15
L,297.0,307.8,1521,40.2,190
L,301.1,311.7,1408,46.3,135
L,299.0,308.7,1583,32.5,25
M,302.5,312.1,1454,47.6,37
L,299.3,308.6,1474,49.6,191
L,300.6,310.5,1470,37.7,98
M,300.0,309.3,1932,21.8,135
M,298.0,308.2,1395,49.1,206
M,300.6,309.6,1503,38.4,68
M,298.9,308.9,1679,28.7,181
L,302.6,311.8,1627,31.8,23
L,298.2,308.3,2057,18.0,168
H,297.7,309.3,1400,48.9,147
M,301.3,310.4,1577,48.3,78
M,300.7,310.6,1488,39.2,189
L,302.7,311.5,1494,41.4,149
L,301.7,310.9,1557,39.4,2
L,297.5,309.3,1479,39.4,22
L,298.2,307.8,1804,25.1,108
L,298.9,310.1,1401,44.4,76
L,299.1,309.4,1439,44.2,82
L,298.7,309.9,1372,54.7,44
L,296.8,307.6,1398,46.7,144
H,300.4,309.4,1487,38.9,185
L,300.1,309.4,1434,47.3,127
L,297.2,308.7,1463,49.9,146
M,299.4,310.7,1492,45.7,219
H,302.3,311.5,1526,38.2,47
M,298.9,309.8,1392,43.1,218
M,303.7,313.0,1303,54.4,2
M,303.8,313.0,1514,45.0,113
M,302.0,311.4,1587,35.9,30
L,302.1,310.9,1666,30.7,203
H,298.9,308.7,1500,41.6,187
M,304.1,313.2,1410,42.4,155
L,302.3,311.2,1903,22.9,55
L,303.6,312.7,1429,47.7,198
M,296.9,308.1,1483,44.3,219
M,302.2,310.6,1346,49.2,134
L,299.0,310.1,1623,33.0,210
M,297.1,308.4,1502,37.3,181
L,299.6,309.2,1601,33.3,33
L,302.3,311.4,1504,38.7,65
L,299.0,310.1,1444,47.7,161
L,302.9,312.3,1889,22.8,148
M,301.1,310.0,1433,48.1,14
L,302.5,311.1,1493,39.0,137
M,296.4,307.3,2077,19.1,80
M,297.7,309.4,1461,43.7,142
L,301.3,310.1,1531,41.6,9
L,298.5,309.5,1294,66.7,12
M,298.1,308.7,1315,56.8,59
L,298.6,310.0,1517,41.2,64
M,300.7,311.3,1348,53.0,35
L,298.9,310.2,1533,42.8,138
M,300.7,311.0,1418,49.3,106
L,297.4,308.6,1488,36.4,71
L,301.4,311.0,1634,32.6,155
L,300.3,311.5,1548,32.2,25
L,300.2,309.4,1527,37.0,194
L,298.1,308.4,1335,40.2,109
L,301.2,310.4,1470,44.0,113
L,300.4,311.7,1459,45.6,3
L,299.9,311.3,1802,24.4,151
L,296.2,307.0,1414,48.3,162
M,300.7,310.9,1468,41.8,112
L,300.3,310.6,1433,53.8,86
H,300.7,309.7,1623,32.7,0
L,302.4,310.3,1520,31.6,121
M,298.0,308.1,1339,51.6,197
M,301.1,310.7,2636,12.2,100
M,298.5,308.0,1519,37.3,29
M,298.3,308.5,1629,37.1,170
L,299.9,310.4,1328,49.9,206
L,300.3,309.3,1345,53.5,192
M,303.5,313.0,1492,46.1,89
L,299.1,310.1,1416,41.2,185
L,298.3,308.5,1362,53.8,164
L,298.8,309.9,1550,38.8,53
L,298.4,308.0,1526,41.1,162
L,297.0,307.8,1396,50.0,96
H,297.2,308.0,1435,43.0,202
H,300.1,311.5,1422,46.2,134
L,301.4,310.4,1334,43.2,133
L,298.6,309.6,1611,35.7,23
M,301.2,310.4,1382,41.6,117
L,298.3,308.6,1447,38.1,146
L,300.5,312.0,1478,39.0,153
L,300.1,309.7,1410,48.3,118
M,298.9,309.0,1812,25.9,174
L,301.3,310.4,1501,41.6,192
L,301.0,310.1,1558,32.6,0
L,298.9,309.0,1410,65.7,191
M,299.0,310.3,1303,68.6,111
M,300.3,311.1,1350,58.7,130
M,301.2,310.7,1962,22.5,28
L,299.1,310.3,1459,46.7,84
M,302.1,311.4,1467,43.4,33
M,302.1,311.5,1635,31.6,23
L,300.7,309.3,1425,45.3,100
L,298.4,309.0,1474,52.7,95
L,299.5,309.9,1402,51.7,58
L,299.3,309.0,1491,38.4,115
L,300.2,311.6,1606,31.0,199
L,298.9,310.2,1696,30.2,214
M,296.7,307.8,1258,69.0,105
L,302.4,310.2,1331,45.5,53
L,304.0,313.3,1294,54.6,102
H,297.3,308.7,1438,46.2,16
M,298.6,309.7,1635,32.2,110
H,298.0,309.4,1562,38.1,58
L,300.7,312.3,1548,37.9,58
M,300.5,312.0,1263,60.8,146
M,303.7,312.8,1685,31.8,203
L,301.3,310.6,1529,41.8,176
M,297.5,308.0,1560,39.0,141
L,298.2,309.0,1418,44.2,87
M,301.7,310.1,1743,27.3,210
H,302.2,311.9,1597,35.8,160
M,300.6,312.2,2174,18.5,95
H,299.7,309.6,1553,41.0,179
M,301.7,310.8,1671,31.6,137
M,299.1,308.6,1441,36.2,169
L,301.4,309.9,1259,63.9,20
M,297.6,309.5,1709,32.2,65
L,302.5,310.3,1539,39.0,119
L,300.6,310.1,1541,42.0,23
L,300.7,309.9,1815,27.0,190
L,300.2,309.8,1650,29.6,13
L,301.6,310.1,1694,26.3,14
M,298.9,310.1,1441,41.2,189
L,300.5,312.0,1453,45.1,151
L,303.1,312.6,1548,36.4,150
L,297.0,307.7,1731,28.5,186
L,299.4,309.3,1525,41.5,30
M,297.9,307.7,1517,39.5,69
M,302.2,311.2,1471,41.9,166
M,302.3,311.0,1541,36.6,143
L,297.7,309.4,1392,44.1,140
M,299.5,309.3,1675,29.2,132
L,300.2,311.8,1379,51.0,46
M,299.2,310.8,1502,39.8,177
L,304.2,313.4,1475,40.2,98
L,300.6,310.4,1494,47.3,118
L,304.0,313.3,1530,34.8,211
L,302.3,311.2,1386,50.3,110
M,297.9,307.6,1505,40.1,166
L,300.8,311.7,1479,39.4,18
M,299.9,309.8,1625,41.2,109
L,297.5,308.7,1761,26.2,164
M,298.4,309.2,1414,46.4,128
L,303.5,311.8,1944,23.5,159
M,301.7,311.0,1311,55.8,39
L,300.6,310.7,1440,52.5,200
L,296.9,307.8,1653,29.7,137
L,296.8,308.2,1643,34.7,191
L,299.8,309.4,1475,43.4,51
L,299.6,309.2,1450,43.1,160
L,301.6,309.9,1440,43.4,100
L,300.6,311.5,1459,47.0,63
L,300.8,311.4,1316,57.6,43
M,300.2,309.4,1752,27.8,208
H,302.0,309.9,1606,34.5,156
L,302.0,310.5,1809,27.1,175
L,303.7,312.5,1397,45.7,187
L,300.3,310.3,1629,34.1,52
L,298.9,310.0,1794,27.2,114
L,302.4,310.1,1401,48.8,177
H,298.9,310.1,1458,44.3,156
L,300.7,310.6,1616,29.6,47
L,298.9,310.2,1304,57.2,183
M,299.0,310.3,1540,38.1,182
H,301.1,311.1,1618,29.5,160
L,299.8,310.3,1687,30.4,33
M,300.7,312.4,1371,61.7,102
M,298.9,309.9,1449,44.1,112
L,299.3,309.0,1473,46.3,146
M,300.4,310.0,1560,42.3,186
L,301.1,311.3,1622,35.6,34
L,298.5,309.4,1578,36.3,71
M,298.2,308.3,1522,49.1,22
L,299.1,308.9,1467,47.2,218
L,300.8,311.3,1782,26.9,116
L,297.5,308.9,1459,48.5,193
H,296.9,307.8,1549,37.8,104
M,300.1,309.6,1584,36.7,165
H,300.4,311.5,1662,29.0,137
L,298.9,310.1,1571,36.8,78
L,297.1,308.4,1543,39.6,205
L,297.7,309.7,1498,41.0,176
H,300.5,310.0,1358,60.4,102
H,296.4,307.1,1638,32.5,146
L,299.0,310.2,1682,28.8,49
L,299.1,310.1,1486,40.7,39
M,297.7,308.1,2189,15.6,186
H,301.6,310.6,1555,40.4,139
M,301.7,310.8,1516,40.4,48
L,297.5,308.6,1514,36.9,134
M,300.3,311.6,1617,32.5,115
M,297.5,308.4,1505,37.2,215
L,299.8,310.8,1553,32.2,161
M,300.6,310.6,1427,52.8,75
M,297.4,308.7,1392,46.4,174
L,303.7,312.4,1525,43.9,188
L,300.0,311.2,1351,44.1,206
M,298.9,308.5,1456,50.0,156
L,300.3,309.8,1523,39.2,24
L,300.7,310.2,1348,54.8,50
L,297.4,308.5,1486,48.6,75
H,299.7,309.2,1355,44.8,127
L,299.6,311.0,1574,35.0,133
L,297.7,308.7,1829,24.9,17
M,302.3,311.8,1443,43.4,175
M,302.3,311.0,1521,34.8,72
L,297.9,309.1,1543,36.6,20
L,300.5,310.4,1761,26.5,12
L,297.5,308.9,1469,44.0,185
M,301.5,311.0,1504,42.6,109
M,302.0,311.2,1558,39.1,179
L,301.4,310.7,1584,32.2,17
L,300.4,309.3,1766,28.2,207
L,298.0,308.3,1544,34.7,213
L,299.3,310.5,1529,41.3,17
M,300.2,310.3,1704,29.4,221
L,303.9,313.0,1408,47.5,76
L,300.5,309.7,1395,61.0,157
L,298.2,308.7,1447,48.4,51
M,297.5,308.5,1662,30.3,26
M,298.2,307.9,1529,36.6,105
H,302.6,311.0,1438,51.0,106
M,301.5,311.1,1402,40.0,94
M,300.8,312.0,1450,45.0,183
L,297.3,308.3,1538,38.5,47
M,297.5,308.7,1697,28.1,107
L,300.2,309.2,1667,29.9,75
L,299.5,310.8,1356,54.9,72
M,299.6,310.9,1630,29.8,206
M,301.5,310.5,1600,32.8,205
M,298.8,310.1,1585,31.3,147
M,300.8,311.9,1356,44.3,214
M,300.4,310.8,1491,35.9,148
L,299.3,310.5,1505,38.8,30
M,297.4,309.4,1539,42.2,134
L,298.3,308.6,1548,40.3,140
M,300.8,311.2,1634,31.9,178
L,302.1,311.3,1477,43.6,196
L,297.6,308.6,1553,40.5,135
M,301.7,309.9,1533,40.9,106
L,298.3,309.1,1387,52.3,160
L,297.0,307.9,1635,31.6,147
L,298.4,308.3,1318,59.1,22
M,298.1,308.0,1374,48.8,156
L,298.9,310.1,1466,42.5,187
M,298.2,308.9,1592,35.2,142
L,300.2,309.5,1729,28.4,131
L,302.8,312.5,1462,43.4,68
H,300.7,312.1,1490,43.1,159
L,303.8,312.6,1565,36.0,179
M,298.5,309.6,1364,58.7,123
H,302.9,312.5,1357,55.0,12
M,302.3,310.7,1559,33.9,119
M,304.3,313.6,1585,32.1,202
M,298.5,309.5,1315,48.9,127
H,301.6,310.8,1435,47.2,152
L,297.6,308.4,1407,55.2,86
H,300.0,310.1,1714,28.7,55
M,298.9,310.1,1442,42.9,153
L,298.9,310.3,1436,39.0,32
L,300.8,311.4,1536,40.9,22
L,296.7,307.6,1540,38.6,53
L,297.8,307.3,1438,44.5,3
H,300.7,311.3,1374,53.1,66
H,301.1,310.6,1782,24.9,93
L,299.8,309.4,1630,32.4,53
L,302.7,312.4,1423,51.9,60
H,298.2,308.4,1385,42.2,98
L,303.6,312.5,1431,49.0,162
L,302.4,310.7,1362,54.8,155
L,303.5,313.1,1897,23.6,75
M,302.9,311.2,1330,53.7,200
L,300.6,309.4,1549,43.4,233
L,301.1,309.8,1493,38.9,149
M,302.9,312.5,1924,24.0,17
L,297.4,308.6,1324,59.1,118
M,297.9,309.1,1338,49.6,56
M,302.2,311.1,1516,33.7,158
M,299.7,309.1,1603,38.5,170
L,298.6,309.9,1461,45.7,49
M,298.0,308.6,1254,55.8,65
L,300.8,311.9,1498,39.3,23
L,302.7,310.7,1433,43.7,13
L,300.5,311.8,1596,34.8,87
H,300.2,311.4,1319,54.6,15
H,299.8,311.3,1785,25.4,139
L,302.2,311.5,1725,34.0,170
H,298.4,309.4,1512,35.3,51
L,297.6,309.4,1326,49.8,199
H,302.2,311.1,1628,30.6,105
L,297.2,307.9,1309,49.6,167
L,299.3,308.9,1258,69.4,119
H,300.4,310.2,1431,43.2,0
L,302.1,311.5,1444,44.9,97
L,297.9,309.7,2194,16.8,27
M,302.2,311.1,1728,34.0,179
M,296.6,307.4,1790,25.8,72
M,302.4,311.2,1330,58.6,201
L,298.0,308.4,1472,42.0,15
L,302.4,312.1,1455,40.4,28
L,301.7,311.0,1527,42.2,144
L,298.9,308.9,1422,47.6,15
L,301.7,310.1,1424,50.2,54
H,302.0,309.8,1280,57.3,147
L,297.8,308.8,1621,36.1,68
H,298.2,307.6,1460,48.6,204
M,298.8,309.6,1693,33.3,170
M,298.0,307.5,1784,27.8,163
L,303.4,311.6,1712,30.1,182
L,298.3,308.6,1570,34.8,175
M,299.7,309.2,1412,45.3,205
M,297.6,309.6,1530,37.3,10
L,302.6,310.4,1365,66.8,80
L,298.3,308.4,1484,43.4,172
L,299.8,309.2,1572,35.4,158
L,301.0,312.3,1550,34.9,111
M,301.5,310.4,1593,36.8,50
M,299.5,309.2,1590,35.9,22
L,297.9,309.2,1478,39.7,10
M,298.9,308.2,2022,20.0,23
M,299.6,308.9,1568,35.3,77
L,300.5,311.9,1403,45.7,54
L,297.4,308.5,1761,27.2,76
L,299.0,309.1,1592,35.0,200
L,301.0,310.5,1601,33.2,77
L,298.8,309.9,1629,31.9,49
L,297.2,308.3,1805,25.6,103
L,303.3,311.3,1409,51.8,16
M,299.8,311.1,1452,44.3,167
L,302.4,311.8,1543,31.1,96
M,298.7,309.4,1375,48.3,157
M,297.6,308.5,1490,43.4,154
L,297.9,307.8,1286,59.5,55
M,300.9,311.0,1567,34.3,130
H,299.4,309.3,1743,28.2,0
L,301.3,311.0,1554,47.7,84
L,297.2,308.6,1864,23.6,103
L,302.2,311.2,1928,23.1,2
L,303.5,312.2,1511,37.1,27
H,298.7,308.5,1572,35.6,202
L,299.7,309.1,1483,41.1,208
L,300.3,309.6,1404,44.6,87
L,298.7,308.6,1297,55.3,148
M,296.8,307.8,1694,33.0,115
L,301.3,310.4,1384,50.1,88
L,298.9,308.5,1429,55.1,140
L,303.3,311.7,1539,38.5,221
L,301.4,310.1,1502,46.6,37
H,298.0,308.8,1411,53.8,73
L,298.9,310.0,1791,27.6,166
H,300.9,310.5,1512,41.2,49
M,299.0,310.6,1787,22.2,192
H,299.3,309.0,1508,35.0,70
M,301.6,310.7,1813,24.6,210
L,300.2,310.0,1493,47.3,172
M,301.2,310.7,1527,41.1,53
M,300.9,310.8,1519,34.9,73
L,299.8,310.0,1697,36.0,175
M,298.7,310.1,1368,56.8,72
H,298.9,308.4,1632,31.8,17
L,299.9,311.4,1706,28.8,111
M,302.0,310.7,2157,17.8,17
M,302.2,310.1,1368,51.6,12
M,301.6,310.7,2012,20.7,178
L,299.4,308.7,1446,62.9,134
H,300.4,309.6,1416,43.3,66
H,299.1,308.8,1566,46.6,192
L,300.3,311.6,1595,38.8,154
L,298.3,309.0,1408,45.4,98
M,300.9,310.8,1599,33.0,7
L,298.6,309.1,1537,35.7,198
L,298.0,308.3,1473,42.6,107
H,301.0,310.1,1454,44.1,217
L,300.6,310.8,1375,53.2,179
L,300.5,311.7,1811,26.8,47
L,296.3,307.3,1567,31.4,5
H,299.0,310.2,1744,31.5,0
M,303.6,313.0,1396,38.2,117
L,300.7,309.9,1383,44.5,176
M,296.5,307.4,1565,43.5,194
H,297.4,308.7,1726,26.8,158
M,301.9,310.8,1563,39.2,39
H,296.8,308.1,1492,43.7,222
L,299.9,309.6,1280,59.3,163
L,302.7,310.5,1511,37.7,60
L,298.0,307.5,1792,27.9,217
L,301.5,310.7,1686,27.9,135
M,303.4,312.6,2706,9.8,65
L,300.5,309.5,1255,62.1,138
L,298.3,308.5,1664,31.6,144
H,297.1,308.2,1790,30.3,128
L,301.9,310.9,1486,40.3,6
L,302.4,310.9,1349,46.1,148
L,302.4,311.8,1508,45.7,108
L,301.6,310.8,1418,44.7,46
L,300.1,309.2,1441,42.9,148
L,297.5,308.4,1528,39.9,160
L,296.7,308.0,1580,32.2,39
H,302.8,312.4,1411,53.8,246
L,302.0,309.7,1551,34.8,207
H,298.3,309.1,1646,30.2,125
L,299.2,308.3,1410,43.0,26
L,300.1,309.2,1533,37.0,101
H,297.7,308.4,1288,49.5,91
M,296.2,307.2,1385,44.0,5
M,303.5,312.8,1375,45.7,89
L,300.7,311.9,1335,57.1,194
L,298.5,308.3,1458,44.0,44
M,299.3,309.2,1334,46.3,31
M,300.0,309.6,1587,32.6,152
L,299.3,308.5,1413,38.5,57
L,303.8,313.0,1452,38.6,72
L,301.6,310.0,1869,22.9,18
M,303.0,311.2,1460,43.9,103
H,303.6,311.7,1476,40.1,85
L,304.1,313.3,1732,28.5,132
L,300.5,310.6,1448,46.3,173
H,299.3,309.1,1552,40.7,120
H,300.4,309.6,1571,33.6,126
M,301.0,310.7,1657,29.9,148
L,299.0,310.4,1339,49.6,94
L,301.6,310.8,1535,35.4,148
M,296.4,307.2,2071,19.4,183
L,299.2,309.0,1515,48.9,228
M,300.0,310.1,1314,53.5,199
L,297.4,308.1,1348,57.4,66
L,297.4,308.7,2874,4.2,118
H,303.3,311.4,1692,27.9,55
L,298.8,309.8,1563,33.7,143
L,304.3,313.6,1409,56.0,19
L,298.6,308.2,1390,51.4,168
L,301.0,311.2,1412,42.1,64
L,304.3,313.5,2643,12.7,21
M,302.0,310.9,1456,47.2,54
H,297.5,308.5,1671,28.0,158
L,302.8,312.4,1651,27.0,200
L,299.9,310.1,1681,29.1,197
H,301.1,310.0,1470,40.1,23
H,300.3,311.8,2141,18.5,204
L,299.9,309.2,1436,52.0,107
L,301.0,310.9,1813,28.5,197
L,299.6,309.5,1803,27.7,159
L,298.3,308.9,1862,27.0,172
H,297.7,308.8,1469,43.7,96
M,297.2,308.5,1353,46.5,185
L,304.0,313.0,1407,42.1,5
L,300.5,311.4,1556,45.3,58
L,300.7,310.5,1445,41.1,201
L,300.1,311.4,1438,42.2,139
L,302.6,310.4,1514,42.7,75
L,301.1,311.0,1918,21.7,28
L,298.4,308.9,1706,29.5,107
H,299.1,308.3,1521,36.5,40
M,302.3,311.9,1508,42.3,159
L,300.7,312.2,1590,38.5,148
L,300.9,310.4,1445,41.7,180
L,301.7,309.8,1398,46.0,109
L,295.5,306.0,1621,29.5,176
M,302.5,311.9,1532,38.8,96
L,300.6,310.4,1556,37.7,122
M,304.3,313.4,1482,43.8,41
L,300.1,309.5,1660,32.7,57
M,301.1,310.9,1552,37.9,126
L,297.3,308.3,1396,45.9,64
L,301.3,310.7,1761,24.3,174
L,301.7,310.7,1493,51.1,87
M,298.8,310.0,1484,44.9,80
L,297.6,308.5,1572,35.9,71
M,303.3,311.5,1373,47.3,60
M,300.6,309.4,1367,63.2,45
L,299.8,309.6,1374,51.6,137
L,298.5,309.4,1560,37.9,37
H,303.3,311.2,1607,31.7,34
L,297.7,308.2,2007,19.3,181
M,298.0,308.7,1479,58.5,176
M,301.4,310.6,1630,30.3,2
M,297.5,308.4,1596,36.6,80
L,295.6,306.0,1370,52.4,115
H,300.6,309.4,1463,49.2,235
M,302.7,311.7,1759,29.9,5
M,302.4,311.1,1480,45.7,200
H,297.8,308.9,1650,32.2,195
L,302.6,311.0,1424,38.0,144
L,302.2,311.4,1449,46.5,60
L,298.0,308.8,1496,44.9,179
L,303.6,312.8,1701,30.8,12
L,300.9,311.0,1438,49.0,61
L,299.5,310.8,1571,38.2,74
L,299.5,309.4,1563,41.5,183
M,297.9,309.0,1525,38.5,113
L,301.3,310.8,1628,32.2,43
L,299.9,310.0,1447,45.9,162
M,302.4,311.1,1432,44.5,195
M,297.2,308.6,1284,51.3,32
L,299.4,309.2,1444,48.2,24
M,295.3,305.7,1473,38.5,189
L,300.4,311.2,1471,46.5,164
L,301.8,310.8,1576,38.6,38
M,298.4,309.1,1467,39.6,78
L,301.0,310.6,1641,33.4,12
L,297.3,308.3,1268,60.6,119
L,296.9,307.7,1464,41.4,6
L,302.3,311.7,1701,27.5,145
L,298.0,308.8,1790,27.2,193
M,301.7,311.0,1298,58.1,168
L,300.6,310.6,1514,39.5,87
M,298.8,309.1,1559,34.7,95
M,297.5,308.9,1280,48.5,19
M,300.5,309.9,1735,27.0,107
L,303.2,312.5,1518,39.9,146
H,301.5,310.5,1538,44.3,43
L,302.2,310.8,1438,41.4,66
L,296.7,307.9,1420,50.1,138
L,302.6,310.8,1486,36.4,160
M,298.8,308.8,1441,40.5,63
M,296.2,307.0,2119,18.3,159
L,298.8,309.5,1374,48.1,159
M,296.8,308.1,1843,24.2,212
M,297.4,308.7,1382,49.9,151
L,299.6,311.1,1679,30.7,129
L,296.2,307.1,1413,53.4,203
L,301.3,310.1,1269,56.8,195
L,303.0,311.2,1383,44.6,198
L,298.2,307.8,2029,19.9,96
L,300.8,312.4,1825,23.8,127
L,301.3,310.3,1400,44.3,47
L,297.8,307.3,1327,61.0,186
L,300.7,310.7,1425,45.3,48
L,300.0,309.4,1308,50.2,32
H,298.1,308.4,1515,43.8,6
L,298.5,309.5,1561,34.8,35
L,298.3,307.9,1703,28.9,147
L,303.7,312.7,1335,51.1,161
L,297.4,308.6,1446,48.1,88
L,298.2,307.9,1769,27.2,188
M,298.5,309.3,1498,34.6,46
M,300.5,309.9,1466,53.2,172
L,298.4,308.1,1375,50.8,94
L,298.3,308.9,1270,52.7,44
M,298.4,308.5,1636,35.7,107
L,300.3,311.5,1663,33.6,38
L,296.7,308.1,1450,40.9,195
L,298.4,309.2,1651,28.5,141
L,302.0,310.9,1564,39.0,15
L,298.4,308.9,1496,37.9,194
L,303.4,311.7,1295,51.3,51
L,298.7,308.5,1353,47.0,190
L,300.1,310.0,1511,41.7,186
M,299.8,310.3,1805,23.7,198
M,300.4,311.5,1476,32.6,144
L,298.4,309.5,1545,36.6,117
L,302.3,311.1,1630,35.6,183
L,296.8,307.8,1480,39.4,122
L,297.6,308.6,1351,51.0,37
H,303.0,312.5,1507,37.9,163
M,301.0,311.2,1394,41.3,16
L,301.1,309.6,1501,36.1,156
M,297.3,308.4,1370,50.5,71
L,299.2,308.8,1405,51.4,183
L,302.7,310.5,1351,41.8,10
L,303.8,312.5,1368,52.6,123
L,297.7,308.7,1449,40.2,95
L,303.6,312.2,1696,30.7,5
L,303.3,311.2,1763,27.3,27
M,298.5,309.6,1509,47.3,2
L,302.7,311.9,1389,46.5,15
L,298.8,310.0,2098,19.6,148
L,302.0,310.7,1698,28.1,39
L,302.9,312.2,1571,40.6,139
L,298.8,308.6,1511,36.1,157
H,302.9,311.0,1469,48.7,130
L,298.1,309.3,1443,45.3,70
H,298.8,309.6,1516,40.2,152
L,300.7,311.1,2377,14.3,135
H,298.7,308.5,1420,45.7,143
L,295.9,306.6,1557,41.1,113
H,303.7,312.6,1711,27.6,170
L,303.6,312.7,1418,44.1,118
M,299.4,308.7,1487,52.6,205
L,300.7,309.9,1775,26.6,149
L,303.9,312.7,1602,33.9,165
L,297.8,308.5,1448,40.0,192
M,303.6,311.8,1627,30.8,104
L,302.5,311.1,1538,36.8,208
H,298.5,309.4,1671,31.8,108
M,298.3,309.2,1359,51.4,21
M,299.7,311.2,1560,43.9,126
H,302.8,312.5,1422,46.1,4
L,300.4,309.6,1319,48.1,26
L,300.2,310.2,1600,31.5,23
M,300.1,308.9,1548,38.4,31
L,298.0,307.6,1694,29.1,169
L,302.1,310.6,1459,47.6,93
L,300.4,310.6,1384,48.7,24
L,297.7,309.1,1435,38.8,165
M,300.6,309.7,1934,22.8,15
M,300.7,310.8,1486,41.2,71
M,302.0,310.4,1608,33.1,97
L,303.4,312.2,1580,35.8,90
M,298.7,309.7,1362,50.5,34
H,300.0,310.4,1881,21.9,102
L,301.2,310.6,1409,50.9,66
